adsorbent,source_link,method_processing,surface_area_m2g,particle_size_mm,pore_volume_cm3g,pollutant,initial_concentration_mgL,temperature_c,contact_time_min,qe_mg_g,removal_percent,ph,dose_gL
RH-natural,"10.37885/221211191, Schneider et al., 2022   ","Washed, oven-dried 110°C/24h, milled, sieved 212µm",2.545,0.212,0.003,Acidity,3680,17,360,14.93,25,N/A,61.61
RH-natural,"10.37885/221211191, Schneider et al., 2022   ","Washed, oven-dried 110°C/24h, milled, sieved 212µm",2.545,0.212,0.003,Acidity,3680,23,360,11.94,20,N/A,61.61
RH-natural,"10.37885/221211191, Schneider et al., 2022   ","Washed, oven-dried 110°C/24h, milled, sieved 212µm",2.545,0.212,0.003,Acidity,3680,17,360,6.57,11,N/A,61.61
RH-natural,"10.37885/221211191, Schneider et al., 2022   ","Washed, oven-dried 110°C/24h, milled, sieved 212µm",2.545,0.212,0.003,Acidity,3680,20,360,14.33,24,N/A,78.34
RH-natural,"10.37885/221211191, Schneider et al., 2022   ","Washed, oven-dried 110°C/24h, milled, sieved 212µm",2.545,0.212,0.003,Acidity,3680,17.5,420,10.72,40,N/A,137.97
RH-natural,"10.37885/221211191, Schneider et al., 2022   ","Washed, oven-dried 110°C/24h, milled, sieved 212µm",2.545,0.212,0.003,Acidity,3680,20,360,17.68,37,N/A,78.34
AC-commercial,"10.37885/221211191, Schneider et al., 2022   ","Commercial powder (4µm), oven-dried 110°C/24h",564.41,0.004,0.09,Acidity,3680,17,360,19.7,33,N/A,61.61
AC-commercial,"10.37885/221211191, Schneider et al., 2022   ","Commercial powder (4µm), oven-dried 110°C/24h",564.41,0.004,0.09,Acidity,3680,23,360,22.1,37,N/A,61.61
AC-commercial,"10.37885/221211191, Schneider et al., 2022   ","Commercial powder (4µm), oven-dried 110°C/24h",564.41,0.004,0.09,Acidity,3680,25,360,26.29,55,N/A,78.34
AC-commercial,"10.37885/221211191, Schneider et al., 2022   ","Commercial powder (4µm), oven-dried 110°C/24h",564.41,0.004,0.09,Acidity,3680,25,360,12.59,47,N/A,137.97
AC-commercial,"10.37885/221211191, Schneider et al., 2022   ","Commercial powder (4µm), oven-dried 110°C/24h",564.41,0.004,0.09,Acidity,3680,20,360,27.24,57,N/A,78.34
CS-biochar,"https://doi.org/10.1177/0734242X221127167, Ajien et al., 2023   ","KOH-activated, pyrolyzed 700°C",486,N/P,N/P,Sulfonamides,N/P,N/P,N/P,10.72,40,N/P,N/P
CS-biochar,"https://doi.org/10.1177/0734242X221127167, Ajien et al., 2023   ","CO₂-activated, pyrolyzed 750°C",613,N/P,N/P,"Heavy metals, dyes",N/P,N/P,N/P,10.72,40,N/P,N/P
CH-biochar,"https://doi.org/10.1177/0734242X221127167, Ajien et al., 2023   ",Pyrolyzed ~600°C,665,N/P,N/P,"Dyes, antibiotics",N/P,N/P,N/P,N/P,96.5,N/P,N/P
CH-biochar,"https://doi.org/10.1177/0734242X221127167, Ajien et al., 2023   ",Chitosan-modified,N/P,N/P,N/P,Nutrients,N/P,N/P,N/P,N/P,90,N/P,N/P
CCAC-150,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.15,N/P,Oil & Grease,300,25,N/A,161.9,92.3,7,N/A
CCAC-300,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.3,N/P,Oil & Grease,300,25,N/A,114.3,88.5,7,N/A
CCAC-600,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.6,N/P,Oil & Grease,300,25,N/A,73.2,82.7,7,N/A
CCAC-BH100,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.3,N/P,Oil & Grease,300,25,N/A,369.9,85.4,7,N/A
CCAC-BH200,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.3,N/P,Oil & Grease,300,25,N/A,239.4,90.2,7,N/A
CCAC-BH300,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.3,N/P,Oil & Grease,300,25,N/A,240.5,93.1,7,N/A
CCAC-FC200,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.3,N/P,Oil & Grease,200,25,N/A,140,91.8,7,N/A
CCAC-FC300,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.3,N/P,Oil & Grease,300,25,N/A,96.3,87,7,N/A
CCAC-FC400,"https://doi.org/10.29333/ejosdr/9285,  Igwegbe et al., 2021   ","NaOH-activated, carbonized at 500°C",N/P,0.3,N/P,Oil & Grease,400,25,N/A,70.6,79.6,7,N/A
STL-MB,"Hameed, 2009","Raw, oven-dried",N/P,N/P,N/P,Methylene Blue,N/P,30,N/P,300.05,N/P,N/P,N/P
STL-MG,"Abul Hossain & Hossain, 2014",Used black tea,N/P,N/P,N/P,Malachite Green,N/P,30,N/P,227.3,N/P,6,N/P
STL-BV10,"Mohamed & Rahman, 2013",Black tea waste,N/P,N/P,N/P,Basic Violet 10,N/P,30,N/P,71.4,N/P,6,N/P
STL-Pb,"Yang & Cui, 2013",NaOH-treated,N/P,N/P,N/P,Pb²⁺,N/P,N/P,N/P,64.1,N/P,N/P,N/P
STL-Cr,"Hadi, 2012",Raw,N/P,N/P,N/P,Cr(VI),N/P,N/P,180,42.46,N/P,N/P,N/P
STL-Zn,"Rafie, 2012",Black tea,N/P,N/P,N/P,Zn²⁺,N/P,N/P,180,12.24,N/P,6,N/P
RH-MB,"Sulyman et al., 2017 review   ",Untreated,N/P,N/P,N/P,Methylene Blue,N/P,N/P,N/P,40.6,N/P,N/P,N/P
RH-IC,"Sulyman et al., 2017 review   ",Untreated,N/P,N/P,N/P,Indigo Carmine,N/P,N/P,N/P,65.9,N/P,N/P,N/P
OP-Pb,"Sulyman et al., 2017 review   ",Untreated,N/P,N/P,N/P,Pb²⁺,N/P,N/P,N/P,204.5,N/P,N/P,N/P
OliveS-Phenol,"Sulyman et al., 2017 review   ",Untreated,N/P,N/P,N/P,Phenol,N/P,N/P,N/P,333.3,N/P,N/P,N/P
MR-Cd,"Sulyman et al., 2017 review   ",Chemically modified,N/P,N/P,N/P,Cd²⁺,N/P,N/P,N/P,14.17,N/P,N/P,N/P
CCAC-MVP-opt,"He et al., 2023   ","H₃PO₄ impregnation, MVP",995.09,N/P,0.708,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.56,16.67,~7.5,2.67
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,2.15,45.84,~7.5,5.33
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.82,58.34,~7.5,8
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.66,70.85,~7.5,10.67
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.56,83.35,~7.5,13.33
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.041,27.58,~7.5,2.67
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.032,42.6,~7.5,5.33
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.028,56.5,~7.5,8
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.026,70.02,~7.5,10.67
BAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.025,82.61,~7.5,13.33
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,2.34,25.01,~7.5,2.67
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.76,37.51,~7.5,5.33
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.69,54.18,~7.5,8
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.47,62.51,~7.5,10.67
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Total Suspended Solids,~25,~23,10,1.48,79.18,~7.5,13.33
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.039,26.13,~7.5,2.67
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.031,40.65,~7.5,5.33
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.028,55.17,~7.5,8
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.026,69.69,~7.5,10.67
CSAC,"Kuok et al., 2024   ",Physical & chemical (KOH) activation,1000,N/P,N/P,Ammoniacal Nitrogen,~0.4,~23,10,0.025,83.73,~7.5,13.33
CS-AC,"Abubakar et al., 2025   ","NaOH activation, carbonization at 700°C",N/P,0.063-0.125,N/P,Methylene Blue,100,30,10,78.7,31.48,6,0.4
CS-AC,"Abubakar et al., 2025   ","NaOH activation, carbonization at 700°C",N/P,0.063-0.125,N/P,Methylene Blue,100,30,20,145.98,58.39,6,0.4
CS-AC,"Abubakar et al., 2025   ","NaOH activation, carbonization at 700°C",N/P,0.063-0.125,N/P,Methylene Blue,100,30,30,154.25,61.7,6,0.4
CS-AC,"Abubakar et al., 2025   ","NaOH activation, carbonization at 700°C",N/P,0.063-0.125,N/P,Methylene Blue,100,30,40,154.95,61.98,6,0.4
CS-AC,"Abubakar et al., 2025   ","NaOH activation, carbonization at 700°C",N/P,0.063-0.125,N/P,Methylene Blue,100,30,50,155.45,62.18,6,0.4
CS-AC,"Abubakar et al., 2025   ","NaOH activation, carbonization at 700°C",N/P,0.063-0.125,N/P,Methylene Blue,100,30,60,158.2,63.28,6,0.4
Hungarian RH,"Sukmana et al., 2025   ","Raw, washed, dried, ground",N/P,0.25,N/P,Methylene Blue,60,25,60,23,92,12,2.4
Indonesian RH,"Sukmana et al., 2025   ","Raw, washed, dried, ground",N/P,0.25,N/P,Methylene Blue,60,25,60,22,88,12,2.4
Hungarian RH-Hydrochar,"Sukmana et al., 2025   ",Hydrothermal carbonization at 250°C,N/P,0.25,N/P,Methylene Blue,60,25,60,23.5,94,12,2.4
Indonesian RH-Hydrochar,"Sukmana et al., 2025   ",Hydrothermal carbonization at 250°C,N/P,0.25,N/P,Methylene Blue,60,25,60,23,92,12,2.4
cRH,"Gargiulo et al., 2024   ",Carbonized,162,N/P,0.102,Cu²⁺,Varied,20,N/P,15.89,N/P,N/P,2
cRH,"Gargiulo et al., 2024   ",Carbonized,162,N/P,0.102,Pb²⁺,Varied,20,N/P,26.94,N/P,N/P,2
cRHNaOH,"Gargiulo et al., 2024   ","Carbonized, NaOH-treated",335,N/P,0.37,Cu²⁺,Varied,20,N/P,13.34,N/P,N/P,2
cRHNaOH,"Gargiulo et al., 2024   ","Carbonized, NaOH-treated",335,N/P,0.37,Pb²⁺,Varied,20,N/P,24.86,N/P,N/P,2
cRHNaOH-FM,"Gargiulo et al., 2024   ","Carbonized, NaOH-treated, Fe-oxide composite",371,N/P,0.36,Cu²⁺,Varied,20,N/P,17.16,N/P,N/P,2
cRHNaOH-FM,"Gargiulo et al., 2024   ","Carbonized, NaOH-treated, Fe-oxide composite",371,N/P,0.36,Pb²⁺,Varied,20,N/P,31.08,N/P,N/P,2
Ambarella peels,"Chong & Hadibarata, 2021   ","Dried, ground, sieved",N/P,0.6,N/P,Phenol Red,50,27,N/P,0.5,99.82,N/P,100
Coconut shells,"Chong & Hadibarata, 2021   ","Dried, ground, sieved",N/P,0.6,N/P,Remazol Brilliant Blue R,50,27,1260,3.79,75.78,N/P,10
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Reactive Dye (RD),4,25,N/P,818,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Reactive Dye (RD),190,25,N/P,1051,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Reactive Dye (RD),380,25,N/P,1106,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Reactive Dye (RD),40,25,N/P,970,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),1.911,25,N/P,563.06,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),13.38,25,N/P,740.693,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),59.24,25,N/P,908.472,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),118.5,25,N/P,1056.07,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),215.9,25,N/P,1117.77,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),307.6,25,N/P,1169.27,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),401.3,25,N/P,1190.35,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),498.7,25,N/P,1216.54,N/P,7,N/P
CS,"Moosavi et al., 2023   ",Pyrolysis at 500°C,878,0.3,0.492,Yellow Dye (YD),569.4,25,N/P,1237.42,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),100,25,60,397,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),200,25,60,795,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),300,25,60,1192,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),400,25,60,1971,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),400,25,60,1564,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),500,25,60,1928,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),600,25,60,1953,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),700,25,60,1906,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),800,25,60,1877,N/P,7,N/P
AC600,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1865,0.71,0.9191,Methylene Blue (MB),900,25,60,1972,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,C-Red,400,25,60,2235,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,CCR,400,25,60,2091,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,CCB,400,25,60,1594,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,CCY,400,25,60,1128,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,CBlue,400,25,60,2235,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,C-Yellow,400,25,60,2091,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),300,25,60,1192,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),200,25,60,795,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),400,25,60,2235,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),400,25,60,1610,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1470,N/P,2,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1691,N/P,4,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1813,N/P,6,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1989,N/P,8,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1989,N/P,10,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),500,25,60,1993,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),600,25,60,2172,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),700,25,60,2184,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),800,25,60,2185,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),900,25,60,2239,N/P,7,N/P
AC700,"Moosavi et al., 2023   ",Pyrolysis at 450°C,2015,0.78,1.0757,Methylene Blue (MB),100,25,60,397,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),100,25,60,397,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),200,25,60,795,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),300,25,60,1192,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),400,25,60,1548,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),500,25,60,1750,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),600,25,60,1899,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),700,25,60,1995,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),800,25,60,2031,N/P,7,N/P
AC800,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1999,0.75,1.1551,Methylene Blue (MB),900,25,60,1014,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),100,25,60,397,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),200,25,60,795,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),300,25,60,1192,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),400,25,60,1548,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),500,25,60,1697,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),600,25,60,1793,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),700,25,60,1752,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),800,25,60,1806,N/P,7,N/P
AC900,"Moosavi et al., 2023   ",Pyrolysis at 450°C,1814,0.74,1.1587,Methylene Blue (MB),900,25,60,1729,N/P,7,N/P
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),50,45,60,514.286,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),100,45,60,678.571,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),200,45,60,828.571,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),300,45,60,892.857,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),400,45,60,1007.14,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),500,45,60,1071.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),600,45,60,1142.86,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),700,45,60,1192.86,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),50,35,60,492.857,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),100,35,60,707.143,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),200,35,60,850,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),300,35,60,992.857,N/P,6,8
