adsorbent,source_link,method_processing,surface_area_m2g,particle_size_mm,pore_volume_cm3g,pollutant,initial_concentration_mgL,temperature_c,contact_time_min,qe_mg_g,removal_percent,ph,dose_gL
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),400,35,60,1107.14,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),500,35,60,1171.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),600,35,60,1178.57,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,7.5,0.39,Methyl Violet (MV),700,35,60,1200,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),50,25,60,535.714,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),100,25,60,721.429,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),200,25,60,850,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),300,25,60,1057.14,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),400,25,60,1121.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),500,25,60,1142.86,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),600,25,60,1171.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Methyl Violet (MV),700,25,60,1171.43,N/P,6,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),13.27,45,60,875.41,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),89.57,45,60,1091.8,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),172.5,45,60,1259.02,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),272,45,60,1308.2,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),364.9,45,60,1347.54,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),464.5,45,60,1386.89,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),557.3,45,60,1445.9,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),656.9,45,60,1495.08,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),13.27,35,60,885.246,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),86.26,35,60,1131.15,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),165.9,35,60,1327.87,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),258.8,35,60,1416.39,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),345,35,60,1554.1,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),441.2,35,60,1573.77,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),540.8,35,60,1622.95,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),637,35,60,1622.95,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),20,25,60,777.049,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),99.53,25,60,993.443,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),175.8,25,60,1268.85,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),255.5,25,60,1445.9,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),348.3,25,60,1504.92,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),441.2,25,60,1593.44,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),540.8,25,60,1603.28,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Congo Red (CR),637,25,60,1642.62,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),100,45,60,292.453,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),200,45,60,371.096,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),300,45,60,395.567,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),400,45,60,426.062,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),500,45,60,450.518,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),600,45,60,456.917,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),700,45,60,472.352,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),800,45,60,499.82,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),100,35,60,322.544,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),200,35,60,359.048,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),300,35,60,386.516,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),400,35,60,401.966,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),500,35,60,420.398,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),600,35,60,426.797,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),700,35,60,433.195,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),800,35,60,442.606,N/P,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),100,25,60,66.6097,53.29,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),200,25,60,103.129,41.25,7,8
CMCAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,2430,0.15,0.39,Alizarin Red (AR),300,25,60,130.612,34.83,7,8
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,94,20,N/P,971.739,N/P,7,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,50,25,N/P,5,N/P,6.5,N/P
MC350,"Moosavi et al., 2023   ",Pyrolysis at 350°C,49,0.48,0.033,Methylene Blue (MB),10,25,N/P,1.9661,N/P,7,N/P
GSAC,"Moosavi et al., 2023   ",Pyrolysis at 900°C,1102,0.2,0.19,Methylene Blue (MB),400,25,N/P,270.27,N/P,11.67,N/P
CAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,1223,1.2,0.72,NR,400,25,N/P,415.023,N/P,6.8,N/P
CBAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,893,1.2,0.52,NR,400,25,N/P,105.164,N/P,6.8,N/P
HAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,760,1.2,0.47,NR,400,25,N/P,110.798,N/P,6.8,N/P
VAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,598,5,0.37,AM,50,25,N/P,12.3,N/P,6.8,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,Methylene Blue (MB),100,25,N/P,19.6,N/P,4.6,N/P
TRAC,"Moosavi et al., 2023   ",Pyrolysis at 550°C,121,1,0.1514,Methylene Blue (MB),200,25,N/P,404.7,N/P,10,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,MO,50,21,N/P,99.88,N/P,7,N/P
WSAC,"Moosavi et al., 2023   ",Pyrolysis at 700°C,1145,4.4,0.53,Rhd B,50,25,N/P,13,N/P,7.3,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,147,20,600,1428.26,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,300,20,600,1447.83,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,500,20,600,1532.61,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,900,20,600,1623.91,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,1000,20,600,1480.43,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,110,20,600,1506.52,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,240,20,600,1584.78,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,400,20,600,1773.91,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,800,20,600,1819.57,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,1000,20,600,1636.96,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,97,20,600,71.7391,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,107,20,600,97.8261,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,120,20,600,104.348,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,137,20,600,91.3043,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,167,20,600,110.87,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,96.94,20,600,123.913,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,103.6,20,600,936.759,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,113.6,20,600,992.095,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,123.7,20,600,173.913,N/P,7,N/P
CS-AC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,2197,2.17,1.192,GR,150.4,20,600,221.344,N/P,7,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,50,25,N/P,3.5,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,50,25,N/P,11.98,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,50,25,N/P,13.27,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,10,25,N/P,0.65625,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,50,25,N/P,3.625,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,100,25,N/P,4.46875,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,150,25,N/P,4.9375,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,200,25,N/P,5.3125,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,10,25,N/P,1.03125,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,50,25,N/P,5.53125,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,100,25,N/P,6.125,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,150,25,N/P,6.4375,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,10,30,N/P,0.671642,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,50,30,N/P,3.58209,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,100,30,N/P,5.52239,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,150,30,N/P,6.1194,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,200,30,N/P,6.41791,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,10,50,N/P,0.970149,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,50,50,N/P,4.92537,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,100,50,N/P,9.70149,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,150,50,N/P,9.55224,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,200,50,N/P,9.62687,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,10,60,N/P,0.895522,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,50,60,N/P,5.07463,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,100,60,N/P,10.0746,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,150,60,N/P,15.3731,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,RB5,200,60,N/P,17.2388,N/P,6.5,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,10,50,N/P,0.820896,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,50,50,N/P,3.65672,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,100,50,N/P,6.86567,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,150,50,N/P,8.20896,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,200,50,N/P,8.80597,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,10,60,N/P,1.04478,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,50,60,N/P,4.1791,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,100,60,N/P,7.16418,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,150,60,N/P,8.95522,N/P,6.2,N/P
TSAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,222,0.5,0.1832,MB,200,60,N/P,9.25373,N/P,6.2,N/P
MC400,"Moosavi et al., 2023   ",Pyrolysis at 400°C,72,0.57,0.053,Methylene Blue (MB),10,25,60,2.37288,4.75,7,0.2
MC400,"Moosavi et al., 2023   ",Pyrolysis at 400°C,72,0.57,0.053,Methylene Blue (MB),20,25,60,5.22034,5.22,7,0.2
MC400,"Moosavi et al., 2023   ",Pyrolysis at 400°C,72,0.57,0.053,Methylene Blue (MB),30,25,60,8.94915,5.97,7,0.2
MC400,"Moosavi et al., 2023   ",Pyrolysis at 400°C,72,0.57,0.053,Methylene Blue (MB),40,25,60,12.8136,6.41,7,0.2
MC450,"Moosavi et al., 2023   ",Pyrolysis at 450°C,81,0.66,0.087,Methylene Blue (MB),10,25,60,2,4,7,0.2
MC450,"Moosavi et al., 2023   ",Pyrolysis at 450°C,81,0.66,0.087,Methylene Blue (MB),20,25,60,5,5,7,0.2
MC450,"Moosavi et al., 2023   ",Pyrolysis at 450°C,81,0.66,0.087,Methylene Blue (MB),30,25,60,8,5.33,7,0.2
MC450,"Moosavi et al., 2023   ",Pyrolysis at 450°C,81,0.66,0.087,Methylene Blue (MB),40,25,60,12.1,6.05,7,0.2
MC500,"Moosavi et al., 2023   ",Pyrolysis at 500°C,116,0.66,0.134,Methylene Blue (MB),10,25,60,2.44068,4.88,7,0.2
MC500,"Moosavi et al., 2023   ",Pyrolysis at 500°C,116,0.66,0.134,Methylene Blue (MB),20,25,60,5.89831,5.9,7,0.2
MC500,"Moosavi et al., 2023   ",Pyrolysis at 500°C,116,0.66,0.134,Methylene Blue (MB),30,25,60,9.76271,6.51,7,0.2
MC500,"Moosavi et al., 2023   ",Pyrolysis at 500°C,116,0.66,0.134,Methylene Blue (MB),40,25,60,13.8305,6.92,7,0.2
MC550,"Moosavi et al., 2023   ",Pyrolysis at 550°C,116,0.48,0.183,Methylene Blue (MB),10,25,60,2.98305,5.97,7,0.2
MC550,"Moosavi et al., 2023   ",Pyrolysis at 550°C,116,0.48,0.183,Methylene Blue (MB),20,25,60,6.37288,6.37,7,0.2
MC550,"Moosavi et al., 2023   ",Pyrolysis at 550°C,116,0.48,0.183,Methylene Blue (MB),30,25,60,10.1017,6.73,7,0.2
MC550,"Moosavi et al., 2023   ",Pyrolysis at 550°C,116,0.48,0.183,Methylene Blue (MB),40,25,60,14.9153,7.46,7,0.2
MC600,"Moosavi et al., 2023   ",Pyrolysis at 600°C,49,0.75,0.033,Methylene Blue (MB),10,25,60,2.37288,4.75,7,0.2
MC600,"Moosavi et al., 2023   ",Pyrolysis at 600°C,49,0.75,0.033,Methylene Blue (MB),20,25,60,5.69492,5.69,7,0.2
MC600,"Moosavi et al., 2023   ",Pyrolysis at 600°C,49,0.75,0.033,Methylene Blue (MB),30,25,60,8.94915,5.97,7,0.2
MC600,"Moosavi et al., 2023   ",Pyrolysis at 600°C,49,0.75,0.033,Methylene Blue (MB),40,25,60,12.9492,6.47,7,0.2
GSAC-Ce-1,"Moosavi et al., 2023   ",Pyrolysis at 900°C,1258,0.2,0.35,Methylene Blue (MB),400,25,N/P,199.76,N/P,7,N/P
CAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,1223,1.2,0.72,NR,100,25,N/P,97.7376,N/P,6.8,N/P
CBAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,893,1.2,0.52,NR,100,25,N/P,73.7557,N/P,6.8,N/P
HAC,"Moosavi et al., 2023   ",Pyrolysis at 800°C,760,1.2,0.47,NR,100,25,N/P,58.8235,N/P,6.8,N/P
VAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,598,5,0.37,AM,100,25,N/P,25.3,N/P,4.6,N/P
VAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,598,5,0.37,Methylene Blue (MB),50,25,N/P,12.6,N/P,4.6,N/P
VAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,598,5,0.37,Methylene Blue (MB),100,25,N/P,25.1,N/P,4.6,N/P
VAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,598,5,0.37,AM,170,25,N/P,25,N/P,4.6,N/P
VAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,598,5,0.37,Methylene Blue (MB),170,25,N/P,25,N/P,4.6,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,Methylene Blue (MB),10,25,N/P,2.44,N/P,4.6,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,Methylene Blue (MB),50,25,N/P,12.3,N/P,4.6,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,AM,10,25,N/P,2.24,N/P,4.6,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,AM,50,25,N/P,12.2,N/P,4.6,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,AM,100,25,N/P,23.6,N/P,4.6,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,AM,170,25,N/P,12.3188,N/P,4.6,N/P
SAC,"Moosavi et al., 2023   ",Pyrolysis at 650°C,98.8,1.18,0.09,Methylene Blue (MB),170,25,N/P,19.5652,N/P,4.6,N/P
TRAC,"Moosavi et al., 2023   ",Pyrolysis at 550°C,121,1,0.1514,AB25,100,25,N/P,399.58,N/P,10,N/P
TRAC,"Moosavi et al., 2023   ",Pyrolysis at 550°C,121,1,0.1514,Methylene Blue (MB),100,25,N/P,151.405,N/P,10,N/P
TRAC,"Moosavi et al., 2023   ",Pyrolysis at 550°C,121,1,0.1514,AB25,100,25,N/P,153.189,N/P,10,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,MO,100,21,N/P,199.5,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,MO,150,21,N/P,298.2,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,MO,200,21,N/P,392.8,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,Methylene Blue (MB),50,21,N/P,98.9772,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,Methylene Blue (MB),100,21,N/P,198.6,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,Methylene Blue (MB),150,21,N/P,295.9,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,Methylene Blue (MB),200,21,N/P,390.3,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,Methylene Blue (MB),100,21,N/P,469,N/P,7,N/P
BGBHAC,"Moosavi et al., 2023   ",Pyrolysis at 400°C,1710,1.94,0.834,MO,100,21,N/P,418,N/P,7,N/P
WSAC,"Moosavi et al., 2023   ",Pyrolysis at 700°C,1145,4.4,0.53,Rhd B,25,25,N/P,123.46,N/P,7.3,N/P
WSAC,"Moosavi et al., 2023   ",Pyrolysis at 700°C,1145,4.4,0.53,Rhd B,50,25,N/P,29.3671,N/P,7.3,N/P
WSAC,"Moosavi et al., 2023   ",Pyrolysis at 700°C,1145,4.4,0.53,Rhd B,75,25,N/P,60.2532,N/P,7.3,N/P
WSAC,"Moosavi et al., 2023   ",Pyrolysis at 700°C,1145,4.4,0.53,Rhd B,100,25,N/P,83.038,N/P,7.3,N/P
WSAC,"Moosavi et al., 2023   ",Pyrolysis at 700°C,1145,4.4,0.53,Rhd B,100,25,N/P,104.81,N/P,7.3,N/P
